Debug.js:127 [673] livestat start 
Debug.js:127 [833] livestat loadend index: NaN time passed: 0.023 
Debug.js:127 [834] livestat loadend index: NaN time passed: 0.020 
Debug.js:127 [1126] livestat loadend index: 187916272 time passed: 0.257 
Debug.js:127 [1204] livestat loadend index: 187916272 time passed: 0.351 
Debug.js:127 [1217] livestat timeupdate delay: 12.733 buffer: 1.984 throughput: 14701.000 
Debug.js:127 [1220] livestat timeupdate delay: 12.736 buffer: 1.984 throughput: 14701.000 
Debug.js:127 [1225] livestat seeking to live start time: 1503330185.055 
Debug.js:127 [1227] livestat timeupdate delay: 3.704 buffer: 0.000 throughput: 14701.000 
Debug.js:127 [1228] livestat timeupdate delay: 3.705 buffer: 0.000 throughput: 14701.000 
Debug.js:127 [1228] livestat first time update delay: 0.555 
Debug.js:127 [1252] livestat loadend index: NaN time passed: 0.039 
Debug.js:127 [1291] livestat loadend index: 187916271 time passed: 0.051 
Debug.js:127 [1766] livestat timeupdate delay: 4.221 buffer: 1.923 throughput: 14701.000 
Debug.js:127 [1777] livestat timeupdate delay: 4.231 buffer: 1.923 throughput: 14701.000 
Debug.js:127 [1781] livestat timeupdate delay: 4.235 buffer: 1.922 throughput: 14701.000 
Debug.js:127 [1782] livestat timeupdate delay: 4.236 buffer: 1.922 throughput: 14701.000 
Debug.js:127 [2150] livestat timeupdate delay: 4.312 buffer: 2.497 throughput: 14701.000 
Debug.js:127 [2150] livestat timeupdate delay: 4.312 buffer: 2.497 throughput: 14701.000 
Debug.js:127 [2448] livestat timeupdate delay: 4.312 buffer: 3.332 throughput: 14701.000 
Debug.js:127 [2450] livestat timeupdate delay: 4.314 buffer: 3.332 throughput: 14701.000 
Debug.js:127 [2714] livestat timeupdate delay: 4.312 buffer: 4.066 throughput: 14701.000 
Debug.js:127 [2715] livestat timeupdate delay: 4.313 buffer: 4.066 throughput: 14701.000 
Debug.js:127 [3198] livestat timeupdate delay: 4.311 buffer: 3.581 throughput: 14701.000 
Debug.js:127 [3199] livestat timeupdate delay: 4.312 buffer: 3.581 throughput: 14701.000 
Debug.js:127 [3698] livestat timeupdate delay: 4.311 buffer: 4.081 throughput: 14701.000 
Debug.js:127 [3699] livestat timeupdate delay: 4.312 buffer: 4.081 throughput: 14701.000 
Debug.js:127 [3953] livestat timeupdate delay: 4.312 buffer: 3.827 throughput: 14701.000 
Debug.js:127 [3953] livestat timeupdate delay: 4.312 buffer: 3.827 throughput: 14701.000 
Debug.js:127 [4448] livestat timeupdate delay: 4.312 buffer: 3.332 throughput: 14701.000 
Debug.js:127 [4449] livestat timeupdate delay: 4.313 buffer: 3.332 throughput: 14701.000 
Debug.js:127 [4565] livestat loadend index: 187916273 time passed: 3.206 
Debug.js:127 [4656] livestat loadend index: 187916273 time passed: 3.314 
Debug.js:127 [4685] livestat loadend index: 187916273 time passed: 3.358 
Debug.js:127 [4698] livestat loadend index: 187916273 time passed: 3.347 
Debug.js:127 [4700] livestat loadend index: 187916273 time passed: 3.376 
Debug.js:127 [4704] livestat timeupdate delay: 4.312 buffer: 4.076 throughput: 11267.000 
Debug.js:127 [4704] livestat timeupdate delay: 4.312 buffer: 4.076 throughput: 11267.000 
Debug.js:127 [5198] livestat timeupdate delay: 4.311 buffer: 3.581 throughput: 11267.000 
Debug.js:127 [5199] livestat timeupdate delay: 4.312 buffer: 3.581 throughput: 11267.000 
Debug.js:127 [5448] livestat timeupdate delay: 4.311 buffer: 3.331 throughput: 11267.000 
Debug.js:127 [5448] livestat timeupdate delay: 4.311 buffer: 3.331 throughput: 11267.000 
Debug.js:127 [5948] livestat timeupdate delay: 4.312 buffer: 2.832 throughput: 11267.000 
Debug.js:127 [5948] livestat timeupdate delay: 4.312 buffer: 2.832 throughput: 11267.000 
Debug.js:127 [6198] livestat timeupdate delay: 4.311 buffer: 3.581 throughput: 11267.000 
Debug.js:127 [6199] livestat timeupdate delay: 4.312 buffer: 3.581 throughput: 11267.000 
Debug.js:127 [6448] livestat timeupdate delay: 4.311 buffer: 3.331 throughput: 11267.000 
Debug.js:127 [6449] livestat timeupdate delay: 4.312 buffer: 3.331 throughput: 11267.000 
Debug.js:127 [6948] livestat timeupdate delay: 4.312 buffer: 3.832 throughput: 11267.000 
Debug.js:127 [6948] livestat timeupdate delay: 4.312 buffer: 3.832 throughput: 11267.000 
Debug.js:127 [7448] livestat timeupdate delay: 4.312 buffer: 3.332 throughput: 11267.000 
Debug.js:127 [7449] livestat timeupdate delay: 4.313 buffer: 3.332 throughput: 11267.000 
Debug.js:127 [7948] livestat timeupdate delay: 4.312 buffer: 3.832 throughput: 11267.000 
Debug.js:127 [7948] livestat timeupdate delay: 4.312 buffer: 3.832 throughput: 11267.000 
Debug.js:127 [8206] livestat timeupdate delay: 4.312 buffer: 3.574 throughput: 11267.000 
Debug.js:127 [8207] livestat timeupdate delay: 4.313 buffer: 3.574 throughput: 11267.000 
Debug.js:127 [8698] livestat timeupdate delay: 4.312 buffer: 4.082 throughput: 11267.000 
Debug.js:127 [8698] livestat timeupdate delay: 4.312 buffer: 4.082 throughput: 11267.000 
Debug.js:127 [9198] livestat timeupdate delay: 4.312 buffer: 3.582 throughput: 11267.000 
